EP2 - Ciclistas!

Ranking - Rodada 1:
  39o - 0066 
  40o - 0054 
  41o - 0070 
  42o - 0038 
  43o - 0046 
  44o - 0050 
  45o - 0023 
  46o - 0026 
  47o - 0041 
  48o - 0079 
  49o - 0063 
  50o - 0008 
  51o - 0061 
  52o - 0073 
  53o - 0086 
  54o - 0020 
  55o - 0051 
  56o - 0019 
  57o - 0068 
  58o - 0044 
  59o - 0071 
  60o - 0089 
  61o - 0098 
  62o - 0000 
  63o - 0002 
  64o - 0084 
  65o - 0031 
  66o - 0080 
  67o - 0025 
  68o - 0072 
  69o - 0033 
  70o - 0005 
  71o - 0074 
  72o - 0062 
  73o - 0058 
  74o - 0092 
  75o - 0014 
  76o - 0055 
  77o - 0081 
  78o - 0099 
  79o - 0097 
  80o - 0018 
  81o - 0093 
  82o - 0088 
  83o - 0091 
  84o - 0003 
  85o - 0048 
  86o - 0010 
  87o - 0024 

LISTA DELETADA 2

Ranking - Rodada 11:
   1o - 0039 
   2o - 0028 
   3o - 0011 
   4o - 0059 
   5o - 0047 
   6o - 0043 
   7o - 0053 
   8o - 0040 
   9o - 0029 
  10o - 0013 
  11o - 0067 
  12o - 0077 
  13o - 0036 
  14o - 0083 
  15o - 0056 
  16o - 0094 
  17o - 0096 
  18o - 0095 
  19o - 0016 
  20o - 0004 
  21o - 0017 
  22o - 0090 
  23o - 0006 
  24o - 0082 
  25o - 0076 
  26o - 0035 
  27o - 0075 
  28o - 0065 
  29o - 0070 
  30o - 0054 
  31o - 0066 
  32o - 0038 
  33o - 0046 
  34o - 0050 
  35o - 0023 
  36o - 0078 
  37o - 0041 
  38o - 0079 
  39o - 0042 
  40o - 0063 
  41o - 0008 
  42o - 0061 
  43o - 0064 
  44o - 0085 
  45o - 0052 
  46o - 0086 
  47o - 0037 
  48o - 0051 
  49o - 0019 
  50o - 0044 
  51o - 0089 
  52o - 0000 
  53o - 0001 
  54o - 0002 
  55o - 0032 
  56o - 0084 
  57o - 0031 
  58o - 0034 
  59o - 0080 
  60o - 0057 
  61o - 0025 
  62o - 0026 
  63o - 0033 
  64o - 0005 
  65o - 0073 
  66o - 0074 
  67o - 0062 
  68o - 0020 
  69o - 0092 
  70o - 0068 
  71o - 0055 
  72o - 0014 
  73o - 0071 
  74o - 0018 
  75o - 0088 
  76o - 0098 
  77o - 0003 
  78o - 0072 
  79o - 0010 
  80o - 0058 
  81o - 0081 
  82o - 0099 
  83o - 0097 
  84o - 0093 
  85o - 0091 
  86o - 0048 


Ranking - Rodada 12:
   1o - 0039 
   2o - 0028 
   3o - 0011 
   4o - 0043 
   5o - 0053 
   6o - 0040 
   7o - 0067 
   8o - 0077 
   9o - 0036 
  10o - 0056 
  11o - 0094 
  12o - 0095 
